round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32546789,4.88,6046844.759999999,7537847.290000001,1491002.5300000021,2.3788,112,25
32546820,6.76,7821621.189999999,19406487.75,11584866.560000002,2.6485714285714286,104,28
32546861,1.51,6135348.089999999,212062.42,-5923285.669999999,1.4,104,1
32546908,16.75,4981172.599999998,15396470.590000002,10415297.990000004,3.218965517241379,116,29
32546937,3.3,5458909.820000001,5927816.5,468906.67999999877,1.9946666666666666,93,15
32547009,6.94,6426792.669999999,11015990.32,4589197.650000001,2.3985714285714286,117,28
32547047,9.56,5713170.490000001,14778870.61,9065700.119999997,3.3813333333333335,105,30
32547101,2.65,5118059.669999998,1859540.56,-3258519.109999998,1.8985714285714284,94,7
32547154,24.95,4091808.320000001,10862551.88,6770743.56,3.3049999999999997,113,30
32547189,10.1,6464886.580000006,13251672.05,6786785.469999995,2.9907142857142857,80,28
32547272,2.06,5967445.990000001,2724615.67,-3242830.320000001,1.3666666666666665,97,6
32547327,3.05,4255123.150000001,2567594.05,-1687529.1000000015,1.8238461538461537,117,13
32547358,2.01,7544090.230000001,3168779.08,-4375311.150000001,1.6050000000000002,102,6
32547397,2.09,6478577.95,2653788.2800000003,-3824789.67,1.4490000000000003,114,10
32547432,5.66,6782567.390000001,9133919.16,2351351.7699999996,2.4320000000000004,101,25
32547470,4.24,7400641.990000004,9196625.479999999,1795983.4899999946,2.3973684210526316,91,19
32547520,1.32,6604520.7700000005,58207.05,-6546313.720000001,1.19,102,1
32547559,1.58,3612523.1,323240.17,-3289282.93,1.0199999999999998,126,3
32547589,13.13,5500492.230000001,15321342.700000001,9820850.469999999,3.5220000000000007,108,30
32547626,1.12,5155199.25,0,-5155199.25,0,89,0
32547687,5.26,4749892.490000001,5267736.33,517843.8399999989,2.373333333333333,114,21
32547707,2.12,5648377.779999998,3074071.2800000003,-2574306.499999998,1.6077777777777778,114,9
32547752,1.03,4575850.340000001,78662.57,-4497187.7700000005,1.02,109,1
32547779,1.07,5448256.34,167834.45,-5280421.89,1.02,114,2
32547802,14.22,5720956.430000001,14718900.950000001,8997944.52,3.288666666666667,121,30
32547826,1.78,5752762.900000001,1396026.6099999999,-4356736.290000001,1.357,97,10
32547897,3.57,6266426.740000002,7053451.15,787024.4099999983,1.9513333333333336,127,15
32547929,1.19,6257295.02,0,-6257295.02,0,112,0
32547968,18.63,5026567.420000001,12287187.26,7260619.839999999,3.4983333333333326,129,30
32547994,1.06,5656005.680000001,0,-5656005.680000001,0,85,0
32548064,2.66,5297803.9799999995,3291449.7500000005,-2006354.229999999,1.8745454545454547,126,11
32548092,1.07,7984175.310000001,0,-7984175.310000001,0,105,0
32548126,2.02,7103982.42,3891235.9699999997,-3212746.45,1.5825,122,4
32548151,3.37,7579776.810000001,10050396.53,2470619.719999998,2.2714285714285714,119,21
32548191,6.49,7313068.990000001,15762188.100000001,8449119.11,3.091785714285714,117,28
32548225,1.21,7189889.770000001,147149.16,-7042740.610000001,1.01,102,1
32548278,1.27,5507625.519999999,0,-5507625.519999999,0,119,0
32548303,1.54,5171766.330000001,220688.28,-4951078.050000001,1.395,122,2
32548335,1.08,5334358.050000001,0,-5334358.050000001,0,107,0
32548368,4.66,5564569.4,9732035.57,4167466.17,2.638333333333333,115,24
32548391,1.79,6530538.130000002,271307.99,-6259230.1400000015,1.18,119,3
32548433,1.35,7345616.820000001,183282.52,-7162334.300000002,1.21,114,1
32548465,1.09,6637162.859999999,0,-6637162.859999999,0,120,0
32548494,3.62,6484569.01,7745925.15,1261356.1400000006,2.523,113,20
32548527,1.67,10040712.229999997,3485193.2,-6555519.029999997,1.3266666666666664,118,6
32548567,3.93,6493596.200000001,8382775.5,1889179.2999999989,2.197142857142857,124,21
32548594,1.95,8182824.670000003,4029890.5399999996,-4152934.130000003,1.4816666666666667,103,6
32548630,6.9,7678886.090000001,16692611.89,9013725.8,2.783103448275862,115,29
32548663,1.03,8167378.890000001,0,-8167378.890000001,0,97,0
32548718,9.47,3979572.8100000005,9762967.69,5783394.879999999,3.7380769230769224,110,26
32548743,2.4,6173377.470000002,5775753.42,-397624.0500000017,1.84,103,13
32548799,4.3,6796074.989999998,8857447.22,2061372.2300000023,2.3504545454545456,102,22
32548838,2.25,7862298.160000004,3991914.84,-3870383.320000004,1.514,110,5
32548880,1.88,6230038.09,1233337.63,-4996700.46,1.3,129,1
32548917,2.61,5444402.290000001,2944621.85,-2499780.440000001,1.6722222222222223,109,9
32548949,5.99,8769665.900000004,13764619.260000002,4994953.359999998,2.3815999999999997,114,25
32548984,2.95,7446976.370000004,6837001.780000001,-609974.5900000026,1.933333333333333,97,12
32549031,3.51,4717338.990000002,3368443.9499999993,-1348895.0400000028,1.909411764705882,112,17
32549069,5.28,7466005.520000001,10698148.839999996,3232143.3199999947,2.5233333333333334,116,24
32549107,1.05,10813135.25,0,-10813135.25,0,102,0
32549157,1.88,4484017.89,59983.37,-4424034.52,1.32,118,1
32549178,2.41,8438435.360000001,5161639.13,-3276796.2300000014,1.6654545454545455,118,11
32549210,2.43,7836548.440000001,5722780.6899999995,-2113767.750000002,1.7676923076923077,107,13
32549246,1.38,10460674.729999999,0,-10460674.729999999,0,118,0
32549282,1.16,8543570.740000002,0,-8543570.740000002,0,108,0
32549315,1.33,6563201.000000001,2777978.32,-3785222.680000001,1.1,118,1
32549341,3.5,6628042.530000002,6925372.4799999995,297329.9499999974,1.9844444444444445,105,18
