timestamp,round_id,crash_point
1747073777.1904414,32550549,1.61
1747073788.6745129,32550574,1.02
1747073805.852943,32550601,2.09
1747073824.281364,32550626,2.55
1747073845.2624106,32550659,3.71
1747073871.3915644,32550699,7.06
1747073888.02166,32550737,1.93
1747073908.8480957,32550787,3.64
1747073926.959681,32550824,2.43
1747073942.932348,32550863,1.73
1747073956.2782009,32550897,1.19
1747073971.6775162,32550928,1.57
1747073991.0484462,32550955,2.94
1747074012.452074,32550985,3.94
1747074059.5935938,32551023,34.45
1747074080.3866768,32551063,3.63
1747074093.9153173,32551159,1.22
1747074107.5049157,32551201,1.22
1747074120.2958024,32551233,1.12
1747074133.6972332,32551255,1.2
1747074155.7254913,32551280,4.29
1747074176.8164518,32551311,3.78
1747074193.3623471,32551354,1.9
1747074224.4689498,32551396,11.54
1747074240.040052,32551431,1.63
1747074264.1326792,32551482,5.57
1747074276.3556151,32551514,1.07
1747074303.2515838,32551557,7.65
1747074338.961272,32551582,16.85
1747074358.5315087,32551634,3.04
1747074369.1209798,32551702,1
1747074385.7566845,32551738,1.93
1747074403.5353658,32551760,2.3
1747074416.7704034,32551791,1.18
1747074434.7234879,32551826,2.35
1747074450.897867,32551856,1.79
1747074477.315523,32551889,7.27
1747074491.9048142,32551920,1.41
1747074504.4999628,32551970,1.1
1747074516.1853173,32551992,1.03
1747074533.3794763,32552020,2.09
1747074553.9085267,32552045,3.48
1747074571.9185479,32552084,2.39
1747074584.1660445,32552123,1.07
1747074602.4775872,32552159,2.5
1747074619.4308226,32552181,2.02
1747074632.458236,32552218,1.15
1747074645.8963385,32552247,1.2
1747074666.9647393,32552272,3.75
1747074690.7275767,32552300,5.37
1747074717.16724,32552343,7.31
1747074740.734596,32552387,5.23
1747074753.7609642,32552441,1.15
1747074775.6897347,32552492,4.22
1747074818.2522833,32552516,26.62
1747074831.3966348,32552558,1.17
1747074845.277457,32552640,1.27
1747074861.6915052,32552665,1.85
1747074873.7952533,32552693,1.06
1747074886.048229,32552726,1.07
1747074900.7258065,32552752,1.42
1747074914.9807243,32552777,1.34
1747074928.0000968,32552803,1.15
1747074952.7065973,32552839,5.97
1747074970.530442,32552863,2.32
1747074998.0679433,32552913,8.19
1747075020.7384834,32552946,4.67
1747075035.8775332,32552999,1.53
1747075050.7339342,32553045,1.46
1747075068.869537,32553075,2.43
1747075097.9275622,32553101,9.51
1747075114.33331,32553133,1.86
1747075130.909368,32553185,1.9
1747075144.1755576,32553216,1.18
1747075163.4693658,32553251,2.9
1747075182.5249662,32553271,2.81
1747075199.4054286,32553314,2
1747075216.9863038,32553349,2.23
1747075245.7720788,32553383,9.3
1747075259.4173937,32553411,1.24
1747075280.5364118,32553473,3.78
1747075293.447183,32553502,1.14
1747075308.3720143,32553538,1.47
1747075320.6246758,32553560,1.07
1747075342.1953804,32553590,4.02
1747075360.4834924,32553610,2.5
1747075377.8204322,32553657,2.15
1747075390.2694192,32553693,1.09
1747075409.744542,32553726,2.98
1747075420.3166199,32553753,1
1747075438.2895696,32553798,2.37
1747075450.6423879,32553816,1.08
1747075463.6556637,32553851,1.15
1747075479.8175874,32553877,1.78
1747075495.2884839,32553900,1.61
1747075519.2580535,32553935,5.49
1747075538.575088,32553964,2.93
1747075561.974005,32554013,5.12
1747075577.8174775,32554048,1.7
1747075595.5612347,32554100,2.29
1747075621.2376401,32554131,6.65
1747075636.9540524,32554168,1.67
1747075648.7763078,32554222,1.04
1747075681.368315,32554256,13.08
1747075694.2695165,32554280,1.14
1747075712.2267804,32554346,2.37
1747075735.4874082,32554365,5.05
1747075755.757181,32554408,3.36
1747075772.1489265,32554453,1.85
1747075784.491461,32554492,1.08
1747075801.7987342,32554518,2.14
1747075817.8487532,32554538,1.75
1747075840.2282143,32554576,4.43
1747075866.8773758,32554611,7.49
1747075877.408799,32554653,1
1747075898.2821636,32554704,3.65
1747075917.4181914,32554729,2.84
1747075933.5459158,32554769,1.78
1747075949.575351,32554804,1.75
1747075961.4134429,32554835,1.04
1747075973.0802221,32554863,1.03
1747076013.761544,32554887,23.68
1747076024.2990723,32554905,1
1747076042.2890315,32554989,2.37
1747076052.830151,32555011,1
1747076066.1618123,32555042,1.19
1747076083.1248553,32555068,2.02
1747076103.060051,32555095,3.2
1747076118.113358,32555125,1.51
1747076139.3349624,32555162,3.83
1747076150.783155,32555195,1.02
1747076170.5053136,32555237,3.08
1747076187.086594,32555260,1.91
1747076223.5664618,32555294,17.8
1747076237.5659866,32555325,1.3
1747076250.8216217,32555400,1.18
1747076262.2700748,32555428,1.02
1747076277.3438938,32555451,1.51
1747076295.742212,32555479,2.53
1747076314.877696,32555502,2.84
1747076329.21965,32555540,1.36
1747076353.2812514,32555577,5.55
1747076372.8096,32555605,3.03
1747076384.6367745,32555654,1.04
1747076407.3080316,32555699,4.67
1747076422.6653473,32555722,1.58
1747076439.3018682,32555763,1.92
1747076484.278043,32555794,30.61
1747076502.6433392,32555832,2.53
1747076519.9542584,32555912,2.14
1747076537.8543313,32555946,2.35
1747076551.8749597,32555978,1.28
1747076563.867878,32556010,1.05
1747076576.7862623,32556040,1.14
1747076589.132282,32556063,1.08
1747076603.2772174,32556086,1.32
1747076620.8430476,32556113,2.23
1747076640.9684455,32556141,3.29
1747076658.9302418,32556172,2.38
1747076677.2582738,32556214,2.51
1747076696.862712,32556251,3.04
1747076710.6952581,32556289,1.27
1747076730.6706214,32556325,3.21
1747076773.109407,32556348,26.37
1747076793.1401503,32556381,3.26
1747076807.8344266,32556469,1.42
1747076834.6362169,32556505,7.5
1747076874.4196584,32556540,22.38
1747076891.007895,32556587,1.92
1747076903.9348705,32556656,1.14
1747076920.6069458,32556694,1.93
1747076933.5332766,32556718,1.14
1747076954.5989041,32556751,3.76
1747076966.236843,32556776,1.03
1747076989.2634435,32556820,4.88
1747077011.5344143,32556847,4.26
1747077029.8183684,32556900,2.5
1747077047.048344,32556940,2.12
1747077061.705673,32556977,1.42
1747077075.0981913,32557016,1.2
1747077108.804421,32557044,14.41
1747077122.3024635,32557072,1.22
1747077135.0749488,32557138,1.12
1747077151.382936,32557160,1.82
1747077170.385303,32557186,2.78
1747077190.2525487,32557216,3.17
1747077204.8599236,32557254,1.41
1747077225.2806606,32557289,3.43
1747077243.664426,32557321,2.53
1747077260.1066167,32557359,1.87
1747077275.7685876,32557387,1.65
1747077294.06947,32557422,2.48
1747077306.1544926,32557450,1.06
1747077318.145771,32557479,1.05
1747077342.7936532,32557508,5.97
1747077359.7158122,32557534,2.02
1747077392.9673405,32557581,13.82
1747077407.1796405,32557615,1.33
1747077425.3684285,32557682,2.45
1747077472.5255256,32557704,34.48
1747077491.052589,32557742,2.6
1747077511.8323371,32557827,3.62
1747077528.031196,32557864,1.8
1747077540.5856786,32557905,1.1
1747077567.7073286,32557938,7.8
1747077584.9982288,32557962,2.17
1747077596.238529,32558006,1.01
1747077611.9124794,32558041,1.65
1747077624.569136,32558063,1.11
1747077646.4040973,32558094,4.18
1747077677.0652895,32558118,11.11
1747077693.942175,32558161,1.99
1747077714.0732808,32558215,3.29
1747077726.4514053,32558250,1.08
1747077740.23544,32558293,1.26
1747077756.329523,32558320,1.77
1747077776.8305302,32558343,3.47
1747077793.017573,32558375,1.8
1747077833.2478585,32558418,22.99
1747077844.8717072,32558455,1.03
1747077871.9175096,32558533,7.8
1747077887.7140338,32558549,1.69
1747077902.6423752,32558598,1.48
1747077927.712048,32558623,6.2
1747077946.5172162,32558657,2.74
1747077959.2454138,32558703,1.12
1747077980.4216318,32558745,3.81
1747078003.03991,32558770,4.63
1747078031.7774088,32558809,9.28
1747078045.602482,32558855,1.27
1747078065.3514607,32558907,3.11
1747078083.155327,32558930,2.32
1747078107.0367098,32558960,5.32
1747078121.5753584,32558994,1.4
1747078132.197925,32559042,1
1747078145.0415783,32559065,1.13
1747078159.222881,32559086,1.33
1747078174.9233305,32559114,1.66
1747078187.146081,32559142,1.07
1747078206.7358193,32559176,3.04
1747078222.9479656,32559193,1.8
